relation_id,relation_raw,relation_text,neighbor_rank,neighbor_relation_id,neighbor_relation_raw,neighbor_relation_text,cosine_similarity,relation_train_count
0,/location/country/form_of_government,location country form of government,1,234,/location/statistical_region/gni_per_capita_in_ppp_dollars./measurement_unit/dated_money_value/currency,location statistical region gni per capita in ppp dollars. measurement unit dated money value currency,0.714891791343689,298
0,/location/country/form_of_government,location country form of government,2,206,/location/statistical_region/gdp_real./measurement_unit/adjusted_money_value/adjustment_currency,location statistical region gdp real. measurement unit adjusted money value adjustment currency,0.708609938621521,298
0,/location/country/form_of_government,location country form of government,3,221,/location/country/official_language,location country official language,0.6932443380355835,298
0,/location/country/form_of_government,location country form of government,4,219,/location/statistical_region/gdp_nominal./measurement_unit/dated_money_value/currency,location statistical region gdp nominal. measurement unit dated money value currency,0.692212700843811,298
0,/location/country/form_of_government,location country form of government,5,139,/location/statistical_region/gdp_nominal_per_capita./measurement_unit/dated_money_value/currency,location statistical region gdp nominal per capita. measurement unit dated money value currency,0.6839175820350647,298
0,/location/country/form_of_government,location country form of government,6,195,/base/aareas/schema/administrative_area/administrative_area_type,base aareas schema administrative area administrative area type,0.5378211140632629,298
0,/location/country/form_of_government,location country form of government,7,23,/organization/organization_member/member_of./organization/organization_membership/organization,organization organization member member of. organization organization membership organization,0.5216025710105896,298
0,/location/country/form_of_government,location country form of government,8,154,/location/location/time_zones,location location time zones,0.5070526003837585,298
0,/location/country/form_of_government,location country form of government,9,118,/user/tsegaran/random/taxonomy_subject/entry./user/tsegaran/random/taxonomy_entry/taxonomy,user tsegaran random taxonomy subject entry. user tsegaran random taxonomy entry taxonomy,0.4728947877883911,298
0,/location/country/form_of_government,location country form of government,10,108,/organization/endowed_organization/endowment./measurement_unit/dated_money_value/currency,organization endowed organization endowment. measurement unit dated money value currency,0.46640104055404663,298
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,1,201,/tv/tv_program/program_creator,tv tv program program creator,0.9971213936805725,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,2,12,/award/award_winning_work/awards_won./award/award_honor/award_winner,award award winning work awards won. award award honor award winner,0.9933854937553406,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,3,84,/film/film/produced_by,film film produced by,0.9933646321296692,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,4,109,/film/film/written_by,film film written by,0.9926588535308838,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,5,153,/film/film/personal_appearances./film/personal_film_appearance/person,film film personal appearances. film personal film appearance person,0.9915644526481628,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,6,136,/film/film/executive_produced_by,film film executive produced by,0.9888368844985962,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,7,155,/film/film/story_by,film film story by,0.9835498929023743,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,8,116,/film/film/music,film film music,0.9787404537200928,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,9,223,/film/film/film_art_direction_by,film film film art direction by,0.9785407781600952,1272
1,/tv/tv_program/regular_cast./tv/regular_tv_appearance/actor,tv tv program regular cast. tv regular tv appearance actor,10,186,/film/film/edited_by,film film edited by,0.9718425273895264,1272
2,/media_common/netflix_genre/titles,media common netflix genre titles,1,55,/film/special_film_performance_type/film_performance_type./film/performance/film,film special film performance type film performance type. film performance film,0.868391752243042,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,2,130,/sports/sports_position/players./sports/sports_team_roster/team,sports sports position players. sports sports team roster team,0.798983633518219,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,3,7,/award/award_category/nominees./award/award_nomination/nominated_for,award award category nominees. award award nomination nominated for,0.7701624631881714,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,4,15,/location/location/contains,location location contains,0.7678350806236267,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,5,87,/location/country/second_level_divisions,location country second level divisions,0.7463809251785278,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,6,161,/people/marriage_union_type/unions_of_this_type./people/marriage/location_of_ceremony,people marriage union type unions of this type. people marriage location of ceremony,0.7202266454696655,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,7,94,/sports/sports_team_location/teams,sports sports team location teams,0.6999118328094482,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,8,54,/location/country/capital,location country capital,0.6783133745193481,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,9,125,/sports/sport/pro_athletes./sports/pro_sports_played/athlete,sports sport pro athletes. sports pro sports played athlete,0.6648463606834412,2671
2,/media_common/netflix_genre/titles,media common netflix genre titles,10,144,/base/aareas/schema/administrative_area/capital,base aareas schema administrative area capital,0.6304309368133545,2671
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,1,86,/film/film/production_companies,film film production companies,0.4602043926715851,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,2,11,/film/film/release_date_s./film/film_regional_release_date/film_release_distribution_medium,film film release date s. film film regional release date film release distribution medium,0.44174924492836,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,3,34,/film/film/estimated_budget./measurement_unit/dated_money_value/currency,film film estimated budget. measurement unit dated money value currency,0.4417426288127899,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,4,31,/film/film/genre,film film genre,0.4411189556121826,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,5,107,/tv/tv_program/genre,tv tv program genre,0.439429372549057,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,6,26,/film/film/other_crew./film/film_crew_gig/film_crew_role,film film other crew. film film crew gig film crew role,0.4319393038749695,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,7,90,/film/film/distributors./film/film_film_distributor_relationship/film_distribution_medium,film film distributors. film film film distributor relationship film distribution medium,0.4299362301826477,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,8,51,/tv/tv_program/languages,tv tv program languages,0.4254993796348572,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,9,14,/film/film/language,film film language,0.4233902096748352,8423
3,/award/award_winner/awards_won./award/award_honor/award_winner,award award winner awards won. award award honor award winner,10,148,/travel/travel_destination/climate./travel/travel_destination_monthly_climate/month,travel travel destination climate. travel travel destination monthly climate month,0.4230254888534546,8423
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,1,5,/soccer/football_team/current_roster./soccer/football_roster_position/position,soccer football team current roster. soccer football roster position position,0.9999949336051941,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,2,95,/sports/sports_team/colors,sports sports team colors,0.9700219035148621,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,3,129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,business business operation revenue. measurement unit dated money value currency,0.9672568440437317,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,4,213,/business/business_operation/operating_income./measurement_unit/dated_money_value/currency,business business operation operating income. measurement unit dated money value currency,0.9654951691627502,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,5,208,/business/business_operation/assets./measurement_unit/dated_money_value/currency,business business operation assets. measurement unit dated money value currency,0.9637389183044434,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,6,33,/location/statistical_region/rent50_2./measurement_unit/dated_money_value/currency,location statistical region rent50 2. measurement unit dated money value currency,0.9619843363761902,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,7,135,/location/administrative_division/country,location administrative division country,0.9600600600242615,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,8,16,/organization/organization/headquarters./location/mailing_address/country,organization organization headquarters. location mailing address country,0.955885112285614,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,9,128,/education/university/local_tuition./measurement_unit/dated_money_value/currency,education university local tuition. measurement unit dated money value currency,0.9554492831230164,2262
4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,10,166,/education/university/domestic_tuition./measurement_unit/dated_money_value/currency,education university domestic tuition. measurement unit dated money value currency,0.9550654292106628,2262
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,soccer football team current roster. soccer football roster position position,1,4,/soccer/football_team/current_roster./sports/sports_team_roster/position,soccer football team current roster. sports sports team roster position,0.9999949336051941,2265
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,soccer football team current roster. soccer football roster position position,2,95,/sports/sports_team/colors,sports sports team colors,0.9701185822486877,2265
5,/soccer/football_team/current_roster./soccer/football_roster_position/position,soccer football team current roster. soccer football roster position position,3,129,/business/business_operation/revenue./measurement_unit/dated_money_value/currency,business business operation revenue. measurement unit dated money value currency,0.9671199321746826,2265
